,Title,Star Rating,Price,Link
0,A Light in the Attic,Three,£51.77,https://books.toscrape.com/catalogue/page-1.html
1,Tipping the Velvet,One,£53.74,https://books.toscrape.com/catalogue/page-1.html
2,Soumission,One,£50.10,https://books.toscrape.com/catalogue/page-1.html
3,Sharp Objects,Four,£47.82,https://books.toscrape.com/catalogue/page-1.html
4,Sapiens: A Brief History of Humankind,Five,£54.23,https://books.toscrape.com/catalogue/page-1.html
5,The Requiem Red,One,£22.65,https://books.toscrape.com/catalogue/page-1.html
6,The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,https://books.toscrape.com/catalogue/page-1.html
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,https://books.toscrape.com/catalogue/page-1.html
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,https://books.toscrape.com/catalogue/page-1.html
9,The Black Maria,One,£52.15,https://books.toscrape.com/catalogue/page-1.html
10,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,https://books.toscrape.com/catalogue/page-1.html
11,Shakespeare's Sonnets,Four,£20.66,https://books.toscrape.com/catalogue/page-1.html
12,Set Me Free,Five,£17.46,https://books.toscrape.com/catalogue/page-1.html
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,https://books.toscrape.com/catalogue/page-1.html
14,Rip it Up and Start Again,Five,£35.02,https://books.toscrape.com/catalogue/page-1.html
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,https://books.toscrape.com/catalogue/page-1.html
16,Olio,One,£23.88,https://books.toscrape.com/catalogue/page-1.html
17,Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,https://books.toscrape.com/catalogue/page-1.html
18,Libertarianism for Beginners,Two,£51.33,https://books.toscrape.com/catalogue/page-1.html
19,It's Only the Himalayas,Two,£45.17,https://books.toscrape.com/catalogue/page-1.html
20,In Her Wake,One,£12.84,https://books.toscrape.com/catalogue/page-2.html
21,How Music Works,Two,£37.32,https://books.toscrape.com/catalogue/page-2.html
22,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,£30.52,https://books.toscrape.com/catalogue/page-2.html
23,Chase Me (Paris Nights #2),Five,£25.27,https://books.toscrape.com/catalogue/page-2.html
24,Black Dust,Five,£34.53,https://books.toscrape.com/catalogue/page-2.html
25,Birdsong: A Story in Pictures,Three,£54.64,https://books.toscrape.com/catalogue/page-2.html
26,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,£22.50,https://books.toscrape.com/catalogue/page-2.html
27,Aladdin and His Wonderful Lamp,Three,£53.13,https://books.toscrape.com/catalogue/page-2.html
28,Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Five,£40.30,https://books.toscrape.com/catalogue/page-2.html
29,Wall and Piece,Four,£44.18,https://books.toscrape.com/catalogue/page-2.html
30,The Four Agreements: A Practical Guide to Personal Freedom,Five,£17.66,https://books.toscrape.com/catalogue/page-2.html
31,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,£31.05,https://books.toscrape.com/catalogue/page-2.html
32,The Elephant Tree,Five,£23.82,https://books.toscrape.com/catalogue/page-2.html
33,The Bear and the Piano,One,£36.89,https://books.toscrape.com/catalogue/page-2.html
34,Sophie's World,Five,£15.94,https://books.toscrape.com/catalogue/page-2.html
35,Penny Maybe,Three,£33.29,https://books.toscrape.com/catalogue/page-2.html
36,Maude (1883-1993):She Grew Up with the country,Two,£18.02,https://books.toscrape.com/catalogue/page-2.html
37,"In a Dark, Dark Wood",One,£19.63,https://books.toscrape.com/catalogue/page-2.html
38,Behind Closed Doors,Four,£52.22,https://books.toscrape.com/catalogue/page-2.html
39,You can't bury them all: Poems,Two,£33.63,https://books.toscrape.com/catalogue/page-2.html
40,Slow States of Collapse: Poems,Three,£57.31,https://books.toscrape.com/catalogue/page-3.html
41,Reasons to Stay Alive,Two,£26.41,https://books.toscrape.com/catalogue/page-3.html
42,Private Paris (Private #10),Five,£47.61,https://books.toscrape.com/catalogue/page-3.html
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,£23.11,https://books.toscrape.com/catalogue/page-3.html
44,Without Borders (Wanderlove #1),Two,£45.07,https://books.toscrape.com/catalogue/page-3.html
45,When We Collided,One,£31.77,https://books.toscrape.com/catalogue/page-3.html
